author,title,journal,vol,page,year_zh,year_en,doi,comment,Column1,_1,_2
"Zhizhen Zhang, Pierre-Nicholas Roy, Hui Li, Maxim Avdeev, Linda F. Nazar","Coupled Cation-Anion Dynamics Enhances Cation Mobility in Room Temperature Superionic Solid-State Electrolytes,",J. Am. Chem. Soc.,141,19360,2019,2019,10.1021/jacs.9b09343,,,,
"Hui Li, Xiao-Long Zhang, Tao Zeng, Robert J. Le Roy, Pierre-Nicholas Roy","Suppression of para-hydrogen superfluidity in a doped nanoscale bose fluid mixture,",Phys. Rev. Lett.,123,93001,2019,2019,10.1103/PhysRevLett.123.093001,,,,
"Xiao-Long Zhang, Yong-Tao Ma, Yu Zhai, Hui Li","Full quantum calculation of the rovibrational states and intensities for a symmetric top-linear molecule dimer: Hamiltonian, basis set, and matrix elements,",J. Chem. Phys.,151,74301,2019,2019,10.1063/1.5115496,,,,
"Tsuneo Hirano, Umpei Nagashima, Per Jensen, Hui Li","Ro-vibrationally averaged dipole moments of linear triatomic molecules,",J. Mol. Spectr.,362,29,2019,2019,10.1016/j.jms.2019.05.005,,,,
"He Yin, Hui Li, Adam Grofe, Jiali Gao",Active-Site Heterogeneity of Lactate Dehydrogenase,ACS Catal.,9,4236,2019,2019,10.1021/acscatal.9b00821,,,,
*,,,,,2018,2018,,,,,
"翟羽, 李佳芮, 李辉",非键体系中计算红外光谱学的发展与应用: 量子与经典体系,科学通报,63,3396,2018,2018,10.1360/N972018-00887,,,,
"Xiao-Long Zhang, Yong-Tao Ma, Yu Zhai, Hui Li","Analytic Morse/long-range potential energy surfaces and “adiabatic-hindered-rotor” treatment for a symmetric top-linear molecule dimer: A case study of CH<sub>3</sub>F–H<sub>2</sub>,",J. Chem. Phys.,148,124302,2018,2018,10.1063/1.5024451,,,,
"Jing-Min Liu, Xiao-Long Zhang, Yu Zhai, Hui Li","Theoretical Study of Infrared Spectra of OCS-(pH<sub>2</sub>)<sub>2</sub>, OCS-(oD<sub>2</sub>)<sub>2</sub>, OCS-(HD)<sub>2</sub>, and Mixed OCS-pH<sub>2</sub>-He Trimers,",J. Phys. Chem. A,122,2915,2018,2018,10.1021/acs.jpca.7b12708,,,,
"Yu Zhai, Hui Li , Robert J. Le Roy","Review: Constructing high-accuracy intermolecular potential energy surface with multi-dimension Morse/Long-Range model,",Mol. Phys.,116,843,2018,2018,10.1080/00268976.2018.1429687,"(A paper invited for ""Molecular Physics in China"" Special Issue)",,,
